track_id,artist,song,favorites
1aaxe,Kito & Raija Lee,This City (Asa & KOAN Sound Remix),232
1apsf,Dr Dre ft Skylar Grey,I Need A Doctor (Arion Dubstep Remix),1733
19wq9,Warren G,Regulate,3257
11wbn,Netsky,I Refuse (Shock One Remix),284
1ahz2,Freqnik & WDRE,XXplosive Reggae Mashup Dr Dre Chronic 2...,262
1n6w8,Skrillex,DnB Ting (Original Mix),1151
wvby,Emalkay,When I Look At You (Sduk Remix),193
1c7e2,Zeds Dead & The Killabits,Bassmentality,2383
1b22w,Kid MK,Ain't No Sunshine (Kid MK Dubstep Remix),1516
1bhc9,Logun,Dat Ass (Crizzly Drumstep Remix),221
1agst,Figure,Super Mega Death Ray (Drumstep Mix),169
1b9zg,Fussy Boy,Gold (Mord Fustang Remix),536
1dm8e,Emil,Deadwood (Starkey remix),27
17s03,Totally Enormous Extinct Dinosaurs,Household Goods,4785
18dhp,Adele vs. Jay-Z vs. Biggie,Rolling In The Deep (Voodoo Farm Remix),7614
160z8,NiT GriT,Abandoned (Sloth Logic Remix),88
11r20,Wiz Khalifa,Glass House feat. Curren$y and Big Kritt,639
1nr11,Phear Phace,You Don't Have To Worry,13
1h5x6,Adrian Lux,Teenage Crime (Trumpdisco Remix),656
18jtk,Document One,Forgive Me (Heist Drumstep Remix),100
1119b,Baths,Hall,1052
19eg0,Gold Panda,Marriage (Star Slinger Remix),7491
2cet9,Elohim,Xanax,2382
29ben,ODESZA,All We Need feat. Shy Girls (Louis Futon...,2604
2b3sv,Super Duper,Angela,4982
2a7v4,Louis Vivet,Save Tonight Feat. Gavrielle & Nick Gold...,1515
2amzy,A Sol Mechanic,Wait And See (feat. JoJo Armani),161
29fk1,Cosmo Sheldrake,Rich (Edit) (feat. Anndreyah Vargas),3229
2afx7,Calvin Harris feat. Ellie Goulding,Outside (Anevo Remix),7753
2bfxf,Cheers Elephant,Airliner,5848
2b0c1,Just A Gent,Limelight feat. R O Z E S (NGHTMRE Remix...,7608
28qmv,Mssingno,XE3 (Wheathin Turn),8951
